year,constituency,constituency_type,n_member,candidate,party,party_name,votes,votes_perc,rank,result
1997,Marine Parade,GRC,6,Goh Chok Tong,PAP,People's Action Party,0,,1,won_uncontested
1997,Marine Parade,GRC,6,Goh Choon Kang,PAP,People's Action Party,0,,1,won_uncontested
1997,Marine Parade,GRC,6,Lim Hwee Hua,PAP,People's Action Party,0,,1,won_uncontested
1997,Marine Parade,GRC,6,Mohamad Maidin B P M,PAP,People's Action Party,0,,1,won_uncontested
1997,Marine Parade,GRC,6,Othman Haron Eusofe,PAP,People's Action Party,0,,1,won_uncontested
1997,Marine Parade,GRC,6,Yap Giau Cheng Eugene,PAP,People's Action Party,0,,1,won_uncontested
1997,Nee Soon Central,SMC,1,Ong Ah Heng,PAP,People's Action Party,15214,61.33,1,won
1997,Nee Soon Central,SMC,1,Cheo Chai Chen,SDP,Singapore Democratic Party,9591,38.67,2,lost
1997,Pasir Ris,GRC,4,Ahmad Bin Mohamed Magad,PAP,People's Action Party,56907,70.86,1,won
1997,Pasir Ris,GRC,4,Chong You Fook Charles,PAP,People's Action Party,56907,70.86,1,won
1997,Pasir Ris,GRC,4,Ong Kian Min,PAP,People's Action Party,56907,70.86,1,won
1997,Pasir Ris,GRC,4,Teo Chee Hean,PAP,People's Action Party,56907,70.86,1,won
1997,Pasir Ris,GRC,4,A. Balakrishnan,WP,Workers' Party,23404,29.14,2,lost
1997,Pasir Ris,GRC,4,A. Rahim,WP,Workers' Party,23404,29.14,2,lost
1997,Pasir Ris,GRC,4,Lim Chiu Liang,WP,Workers' Party,23404,29.14,2,lost
1997,Pasir Ris,GRC,4,Sim Say Chuan,WP,Workers' Party,23404,29.14,2,lost
1997,Potong Pasir,SMC,1,Chiam See Tong,SPP,Singapore People's Party,9709,55.15,1,won
1997,Potong Pasir,SMC,1,Gan Lai Chiang,PAP,People's Action Party,7895,44.85,2,lost
1997,Sembawang,GRC,6,Chin Tet Yung,PAP,People's Action Party,0,,1,won_uncontested
1997,Sembawang,GRC,6,Hawazi Daipi,PAP,People's Action Party,0,,1,won_uncontested
1997,Sembawang,GRC,6,Ho Peng Kee,PAP,People's Action Party,0,,1,won_uncontested
1997,Sembawang,GRC,6,K Shanmugam,PAP,People's Action Party,0,,1,won_uncontested
1997,Sembawang,GRC,6,Tony Tan Keng Yam,PAP,People's Action Party,0,,1,won_uncontested
1997,Sembawang,GRC,6,Teo Ho Pin,PAP,People's Action Party,0,,1,won_uncontested
1997,Tampines,GRC,4,Aline Wong,PAP,People's Action Party,0,,1,won_uncontested
1997,Tampines,GRC,4,Mah Bow Tan,PAP,People's Action Party,0,,1,won_uncontested
1997,Tampines,GRC,4,Sin Boon Ann,PAP,People's Action Party,0,,1,won_uncontested
1997,Tampines,GRC,4,Yatiman Yusof,PAP,People's Action Party,0,,1,won_uncontested
1997,Tanjong Pagar,GRC,6,Chay Wai Chuen,PAP,People's Action Party,0,,1,won_uncontested
1997,Tanjong Pagar,GRC,6,Koo Tsai Kee,PAP,People's Action Party,0,,1,won_uncontested
1997,Tanjong Pagar,GRC,6,Lee Kuan Yew,PAP,People's Action Party,0,,1,won_uncontested
1997,Tanjong Pagar,GRC,6,Lim Swee Say,PAP,People's Action Party,0,,1,won_uncontested
1997,Tanjong Pagar,GRC,6,Ow Chin Hock,PAP,People's Action Party,0,,1,won_uncontested
1997,Tanjong Pagar,GRC,6,S Vasoo,PAP,People's Action Party,0,,1,won_uncontested
1997,West Coast,GRC,4,Chen Tien Lap Bernard,PAP,People's Action Party,48275,70.14,1,won
1997,West Coast,GRC,4,Lim Hng Kiang,PAP,People's Action Party,48275,70.14,1,won
1997,West Coast,GRC,4,S Iswaran,PAP,People's Action Party,48275,70.14,1,won
1997,West Coast,GRC,4,Wan Soon Bee,PAP,People's Action Party,48275,70.14,1,won
1997,West Coast,GRC,4,Mike Chan,WP,Workers' Party,20550,29.86,2,lost
1997,West Coast,GRC,4,D'Cruz Anthony,WP,Workers' Party,20550,29.86,2,lost
1997,West Coast,GRC,4,John Gan Eng Guan,WP,Workers' Party,20550,29.86,2,lost
1997,West Coast,GRC,4,Ng Teck Siong,WP,Workers' Party,20550,29.86,2,lost
2001,Aljunied,GRC,5,Ong Seh Hong,PAP,People's Action Party,0,,1,won_uncontested
2001,Aljunied,GRC,5,Phua Cynthia,PAP,People's Action Party,0,,1,won_uncontested
2001,Aljunied,GRC,5,Yeo Guat Kwang,PAP,People's Action Party,0,,1,won_uncontested
2001,Aljunied,GRC,5,George Yong-Boon Yeo,PAP,People's Action Party,0,,1,won_uncontested
2001,Aljunied,GRC,5,Zainul Abidin Rasheed,PAP,People's Action Party,0,,1,won_uncontested
2001,Ang Mo Kio,GRC,6,Inderjit Singh,PAP,People's Action Party,0,,1,won_uncontested
2001,Ang Mo Kio,GRC,6,Lee Hsien Loong,PAP,People's Action Party,0,,1,won_uncontested
2001,Ang Mo Kio,GRC,6,Sadasivan Balaji,PAP,People's Action Party,0,,1,won_uncontested
2001,Ang Mo Kio,GRC,6,Seng Han Thong,PAP,People's Action Party,0,,1,won_uncontested
2001,Ang Mo Kio,GRC,6,Tan Boon Wan,PAP,People's Action Party,0,,1,won_uncontested
2001,Ang Mo Kio,GRC,6,Wee Siew Kim,PAP,People's Action Party,0,,1,won_uncontested
2001,Ayer Rajah,SMC,1,Tan Cheng Bock,PAP,People's Action Party,15024,87.96,1,won
2001,Ayer Rajah,SMC,1,Tan Lead Shake,DPP,Democratic Progressive Party,2057,12.04,2,lost_deposit
2001,Bishan-Toa Payoh,GRC,5,Davinder Singh,PAP,People's Action Party,0,,1,won_uncontested
2001,Bishan-Toa Payoh,GRC,5,Leong Horn Kee,PAP,People's Action Party,0,,1,won_uncontested
2001,Bishan-Toa Payoh,GRC,5,Ng Eng Hen,PAP,People's Action Party,0,,1,won_uncontested
2001,Bishan-Toa Payoh,GRC,5,Wong Kan Seng,PAP,People's Action Party,0,,1,won_uncontested
2001,Bishan-Toa Payoh,GRC,5,Zainudin Nordin,PAP,People's Action Party,0,,1,won_uncontested
2001,Bukit Timah,SMC,1,Wang Kai Yuen,PAP,People's Action Party,19121,77.38,1,won
2001,Bukit Timah,SMC,1,Tong Meng Chye,SDA,Singapore Democratic Alliance,4376,17.71,2,lost
2001,Bukit Timah,SMC,1,Tan Kim Chuang,Independent,,1215,4.92,3,lost_deposit
2001,Chua Chu Kang,SMC,1,Low Seow Chay,PAP,People's Action Party,15349,65.34,1,won
2001,Chua Chu Kang,SMC,1,Steve Chia,SDA,Singapore Democratic Alliance,8143,34.66,2,lost
2001,East Coast,GRC,6,Abdullah Tarmugi,PAP,People's Action Party,0,,1,won_uncontested
2001,East Coast,GRC,6,Chew Heng Ching,PAP,People's Action Party,0,,1,won_uncontested
2001,East Coast,GRC,6,Lee Yock Suan,PAP,People's Action Party,0,,1,won_uncontested
2001,East Coast,GRC,6,Lim Siang Keat Raymond,PAP,People's Action Party,0,,1,won_uncontested
2001,East Coast,GRC,6,S Jayakumar,PAP,People's Action Party,0,,1,won_uncontested
2001,East Coast,GRC,6,Tan Soo Khoon,PAP,People's Action Party,0,,1,won_uncontested
2001,Holland-Bukit Timah,GRC,5,Gan Kim Yong,PAP,People's Action Party,0,,1,won_uncontested
2001,Holland-Bukit Timah,GRC,5,Lim Swee Say,PAP,People's Action Party,0,,1,won_uncontested
2001,Holland-Bukit Timah,GRC,5,David Lim Tik En,PAP,People's Action Party,0,,1,won_uncontested
2001,Holland-Bukit Timah,GRC,5,Teo Ho Pin,PAP,People's Action Party,0,,1,won_uncontested
2001,Holland-Bukit Timah,GRC,5,Vivian Balakrishnan,PAP,People's Action Party,0,,1,won_uncontested
2001,Hong Kah,GRC,5,Ahmad Khalis Abdul Ghani,PAP,People's Action Party,96450,79.74,1,won
2001,Hong Kah,GRC,5,Ang Mong Seng,PAP,People's Action Party,96450,79.74,1,won
2001,Hong Kah,GRC,5,John Chen,PAP,People's Action Party,96450,79.74,1,won
2001,Hong Kah,GRC,5,Amy Khor Lean Suan,PAP,People's Action Party,96450,79.74,1,won
2001,Hong Kah,GRC,5,Yeo Cheow Tong,PAP,People's Action Party,96450,79.74,1,won
2001,Hong Kah,GRC,5,Cheo Chai Chen,SDP,Singapore Democratic Party,24513,20.26,2,lost
2001,Hong Kah,GRC,5,Lim Boon Heng,SDP,Singapore Democratic Party,24513,20.26,2,lost
2001,Hong Kah,GRC,5,Lim Tung Hee,SDP,Singapore Democratic Party,24513,20.26,2,lost
2001,Hong Kah,GRC,5,Sarry Bin Hassan,SDP,Singapore Democratic Party,24513,20.26,2,lost
2001,Hong Kah,GRC,5,Wong Hong Toy,SDP,Singapore Democratic Party,24513,20.26,2,lost
2001,Hougang,SMC,1,Low Thia Khiang,WP,Workers' Party,12070,54.98,1,won
2001,Hougang,SMC,1,Eric Low Siak Meng,PAP,People's Action Party,9882,45.02,2,lost
2001,Jalan Besar,GRC,5,Heng Chee How,PAP,People's Action Party,68309,74.49,1,won
2001,Jalan Besar,GRC,5,Lee Boon Yang,PAP,People's Action Party,68309,74.49,1,won
2001,Jalan Besar,GRC,5,Loh Meng See,PAP,People's Action Party,68309,74.49,1,won
2001,Jalan Besar,GRC,5,Lily Tirtasana Neo,PAP,People's Action Party,68309,74.49,1,won
2001,Jalan Besar,GRC,5,Yaacob Bin Ibrahim,PAP,People's Action Party,68309,74.49,1,won
2001,Jalan Besar,GRC,5,Fong Chin Leong,SDA,Singapore Democratic Alliance,23391,25.51,2,lost
2001,Jalan Besar,GRC,5,Lim Bak Chuan,SDA,Singapore Democratic Alliance,23391,25.51,2,lost
2001,Jalan Besar,GRC,5,Mohd Rahizan Bin Ya'acob,SDA,Singapore Democratic Alliance,23391,25.51,2,lost
2001,Jalan Besar,GRC,5,Ng Kee How,SDA,Singapore Democratic Alliance,23391,25.51,2,lost
2001,Jalan Besar,GRC,5,Sin Kek Tong,SDA,Singapore Democratic Alliance,23391,25.51,2,lost
2001,Joo Chiat,SMC,1,Chan Soo Sen,PAP,People's Action Party,15426,83.55,1,won
2001,Joo Chiat,SMC,1,Ooi Boon Ewe,Independent,,3038,16.45,2,lost
2001,Jurong,GRC,5,Foo Yee Shoon,PAP,People's Action Party,84742,79.75,1,won
2001,Jurong,GRC,5,Halimah Bt Yacob,PAP,People's Action Party,84742,79.75,1,won
2001,Jurong,GRC,5,Lim Boon Heng,PAP,People's Action Party,84742,79.75,1,won
2001,Jurong,GRC,5,Ong Chit Chung,PAP,People's Action Party,84742,79.75,1,won
2001,Jurong,GRC,5,Shanmugaratnam Tharman,PAP,People's Action Party,84742,79.75,1,won
2001,Jurong,GRC,5,Chee Siok Chin,SDP,Singapore Democratic Party,21511,20.25,2,lost
2001,Jurong,GRC,5,Chee Soon Juan,SDP,Singapore Democratic Party,21511,20.25,2,lost
2001,Jurong,GRC,5,Ghandi s/o Karuppiah Ambalam,SDP,Singapore Democratic Party,21511,20.25,2,lost
2001,Jurong,GRC,5,Mohamed Isa Bin Abdul Aziz,SDP,Singapore Democratic Party,21511,20.25,2,lost
2001,Jurong,GRC,5,Yeo Boon Keng Vincent,SDP,Singapore Democratic Party,21511,20.25,2,lost
2001,MacPherson,SMC,1,Matthias Yao Chih,PAP,People's Action Party,16870,83.73,1,won
2001,MacPherson,SMC,1,Tan Soo Phuan,DPP,Democratic Progressive Party,3277,16.27,2,lost
2001,Marine Parade,GRC,6,Gan Lai Chiang,PAP,People's Action Party,0,,1,won_uncontested
2001,Marine Parade,GRC,6,Goh Chok Tong,PAP,People's Action Party,0,,1,won_uncontested
2001,Marine Parade,GRC,6,Mohamad Maidin B P M,PAP,People's Action Party,0,,1,won_uncontested
2001,Marine Parade,GRC,6,Othman Haron Eusofe,PAP,People's Action Party,0,,1,won_uncontested
2001,Marine Parade,GRC,6,R Ravindran,PAP,People's Action Party,0,,1,won_uncontested
2001,Marine Parade,GRC,6,Tan Hwee Hua @ Lim Hwee Hua,PAP,People's Action Party,0,,1,won_uncontested
2001,Nee Soon Central,SMC,1,Ong Ah Heng,PAP,People's Action Party,16755,78.52,1,won
2001,Nee Soon Central,SMC,1,Ling How Doong,SDP,Singapore Democratic Party,4583,21.48,2,lost
2001,Nee Soon East,SMC,1,Ho Peng Kee,PAP,People's Action Party,19566,73.68,1,won
2001,Nee Soon East,SMC,1,Poh Lee Guan,WP,Workers' Party,6990,26.32,2,lost
2001,Pasir Ris-Punggol,GRC,5,Ahmad Magad,PAP,People's Action Party,0,,1,won_uncontested
2001,Pasir Ris-Punggol,GRC,5,Charles Chong,PAP,People's Action Party,0,,1,won_uncontested
