year,constituency,constituency_type,n_member,n_candidates,electors,votes_valid,majority,votes_rejected,ballots_spoiled,voter_turnout,majority_perc,votes_rejected_perc
2020,Sengkang,GRC,4,2,120100,115536,4898,1194,64,97.19,4.24,1.02
2020,Tampines,GRC,5,2,151589,142543,46793,3521,98,96.36,32.83,2.41
2020,Tanjong Pagar,GRC,5,2,134494,124137,32523,1933,108,93.74,26.2,1.53
2020,West Coast,GRC,5,2,146089,138654,4662,1646,79,96.04,3.36,1.17
2020,Yio Chu Kang,SMC,1,2,25962,24294,5256,413,35,95.17,21.63,1.67
2020,Yuhua,SMC,1,2,21351,20032,8230,406,10,95.72,41.08,1.99
2025,Aljunied,GRC,5,2,144298,132725,25783,1342,80,92.91,19.43,1.0
2025,Ang Mo Kio,GRC,5,3,161499,146365,99688,4399,54,93.35,68.11,2.92
2025,Bishan-Toa Payoh,GRC,4,2,98708,88399,44511,2092,61,91.68,50.35,2.31
2025,Bukit Gombak,SMC,1,2,26427,23672,12220,298,34,90.7,51.62,1.24
2025,Bukit Panjang,SMC,1,2,33596,31203,7101,350,12,93.92,22.76,1.11
2025,Chua Chu Kang,GRC,4,2,93522,86702,23578,1191,66,93.98,27.19,1.36
2025,East Coast,GRC,5,2,151073,136393,23817,1570,94,91.32,17.46,1.14
2025,Holland-Bukit Timah,GRC,4,2,123225,109698,64174,2694,62,91.21,58.5,2.4
2025,Hougang,SMC,1,2,29464,27283,6629,296,19,93.6,24.3,1.07
2025,Jalan Besar,GRC,4,2,106342,93869,47335,3349,99,91.42,50.43,3.44
2025,Jalan Kayu,SMC,1,2,29628,27483,809,377,18,94.03,2.94,1.35
2025,Jurong Central,SMC,1,2,29667,27260,16634,531,20,93.68,61.02,1.91
2025,Jurong East-Bukit Batok,GRC,5,2,142753,130034,69350,3198,60,93.33,53.33,2.4
2025,Kebun Baru,SMC,1,2,22263,20129,7445,325,9,91.87,36.99,1.59
2025,Marsiling-Yew Tee,GRC,4,2,119559,110424,51862,1668,117,93.75,46.97,1.49
2025,Marymount,SMC,1,2,23275,21141,8767,251,16,91.91,41.47,1.17
2025,Mountbatten,SMC,1,2,22843,19745,5459,474,8,88.51,27.65,2.34
2025,Nee Soon,GRC,5,2,151874,139512,66436,3090,95,93.89,47.62,2.17
2025,Pasir Ris-Changi,GRC,4,2,100957,90381,31955,2491,68,91.99,35.36,2.68
2025,Pioneer,SMC,1,2,25207,23470,7250,233,15,94.03,30.89,0.98
2025,Potong Pasir,SMC,1,3,30971,27872,13027,544,25,91.75,46.74,1.91
2025,Punggol,GRC,4,2,123820,115534,11956,823,82,93.97,10.35,0.71
2025,Queenstown,SMC,1,2,28911,25873,16107,705,17,91.93,62.25,2.65
2025,Radin Mas,SMC,1,3,25567,22937,10460,446,26,91.46,45.6,1.91
2025,Sembawang,GRC,5,3,134157,124194,47002,1848,98,93.95,37.85,1.47
2025,Sembawang West,SMC,1,2,24206,22563,1435,269,14,94.32,6.36,1.18
2025,Sengkang,GRC,4,2,126808,118256,14942,927,81,93.99,12.64,0.78
2025,Tampines,GRC,5,4,148119,137631,6392,1262,79,93.77,4.64,0.91
2025,Tampines Changkat,SMC,1,2,23847,22217,2735,224,5,94.1,12.31,1.0
2025,Tanjong Pagar,GRC,5,2,140194,122093,75755,3681,95,89.71,62.05,2.93
2025,West Coast-Jurong West,GRC,5,2,158836,147665,29509,1438,53,93.87,19.98,0.96
2025,Yio Chu Kang,SMC,1,2,25410,22942,13190,559,17,92.49,57.49,2.38
